falha_detectada,inicio_idx,fim_idx,inicio,fim,duracao_pts,valor_constante,variavel,falha_avaliada
stuck,1628,1658,2023-10-18 07:20:00,2023-10-18 12:20:00,31,2.0,MP10_1,stuck
stuck,3937,3978,2023-11-03 08:10:00,2023-11-03 15:00:00,42,1.0,MP10_1,stuck
stuck,4075,4124,2023-11-04 07:10:00,2023-11-04 15:20:00,50,1.0,MP10_1,stuck
stuck,4372,4422,2023-11-06 08:40:00,2023-11-06 17:00:00,51,1.0,MP10_1,stuck
stuck,4512,4548,2023-11-07 08:00:00,2023-11-07 14:00:00,37,1.0,MP10_1,stuck
stuck,4642,4701,2023-11-08 05:40:00,2023-11-08 15:30:00,60,1.0,MP10_1,stuck
